	ABBEY NAT TREASURY SVC CT BR	BR	ANTSUS31XXX
2	US	ABBEY NATIONAL SECURITIES INC	NB	ANSSUS33XXX
3	US	ABN AMRO BK NV NY FIFTH AVE BR	BR	N
4	US	ABN AMRO INCORPORATED	NB	N
5	US	ABN-AMRO BK NV CHICAGO BR	BR	ABNAUS4CXXX
6	US	ABN-AMRO BK NV NY BR	BR	ABNAUS33XXX
7	US	ALLIANZ GLOBAL INVESTORS DISTRIBUTORS LLC	NB	N
8	US	ALLIANZ LIFE FINANCIAL SERVICES LLC	NB	N
9	US	ALLIED IRISH BANKS NORTH AMERICA INC	NB	N
10	US	ALLIED IRISH BKS NY BR	BR	N
11	US	AMEGY BANK NATIONAL ASSOCIATION	HO	SWBKUS44
12	US	AMEGY INVESTMENTS INC	NB	N
13	US	AMERICAN EXPRESS CENTURION BANK	HO	N
14	US	AMERICAN EXPRESS COMPANY	HO	N
15	US	AMERIKA SAMOA BANK	SU	ANZBASPAXXX
16	US	ANZ GUAM INC	SU	N
17	US	ANZ SECURITIES INC	NB	N
18	US	ARAB BKG CORP NY BR	BR	ABCOUS33XXX
19	US	ASSET BACKED SECURITIES CORPORATION	NB	N
20	US	AUSTRALIA & NEW ZEALAND NY BR	BR	ANZBUS33XXX
21	US	AUTOMATED TRADING DESK BROKERAGE SERVICES LLC	NB	N
22	US	AUTOMATED TRADING DESK FINANCIAL SERVICES LLC	NB	N
23	US	BANC OF AMERICA FINANCIAL PRODUCTS INC	NB	N
24	US	BANC OF AMERICA SECURITIES LLC	NB	N
25	US	BANCA IMI SECURITIES CORP	NB	N
26	US	BANCA MONTE DEI PASCHI NY BR	BR	N
27	US	BANCAFE INTERNATIONAL B*B	SU	N
28	US	BANCO BILBAO VIZCAYA ARG NY BR	BR	BBVAUS33XXX
29	US	BANCO BILBAO VIZCAYA ARGENTARIA PUERTO RICO	SU	N
30	US	BANCO BRADESCO SA NY BR	BR	BBDEUS33XXX
31	US	BANCO DE CREDITO E INV MIA BR	BR	CREDUS3MXXX
32	US	BANCO DE SABADELL SA MIAMI BR	BR	BSABUS3XXXX
33	US	BANCO DEL ESTADO D CHILE NY BR	BR	N
34	US	BANCO DO BRASIL SA NY BR	BR	BRASUS33XXX
35	US	BANCO DO ESTADO RIO GRAN NY BR	BR	N
36	US	BANCO ESPANOL CREDITO NY BR	BR	ESPCUS3NXXX
37	US	BANCO ESPIRITO SANTO CMR NY BR	BR	BESCUS33XXX
38	US	BANCO ESPIRITO SANTO NY BR	BR	N
39	US	BANCO ITAU EUROPA INTERNATIONAL	SU	ITAUUSM1XXX
40	US	BANCO ITAU SA NY BR	BR	ITAUUS33XXX
41	US	BANCO LATINOAMERICANO NY AGY	BR	N
42	US	BANCO POPULAR DE PUERTO RICO	HO	BPPRPRSX
43	US	BANCO SANTANDER INTERNATIONAL	SU	N
44	US	BANCO SANTANDER PUERTO RICO	SU	N
45	US	BANCO SANTANDER SA NY BR	BR	BSCHUS33XXX
46	US	BANCORPSOUTH BANK	HO	N
47	US	BANCORPSOUTH INC	HO	N
48	US	BANCORPSOUTH INVESTMENT SERVICES INC	NB	N
49	US	BANCWEST CORPORATION	SU	N
50	US	BANCWEST INVESTMENT SERVICES INC	NB	N
51	US	BANK EAST ASIA LIMITED NY WHOLESALE BR	BR	N
52	US	BANK LEUMI LE-ISRAEL CORPORATION	HO	N
53	US	BANK LEUMI USA	HO	LUMIUS3N
54	US	BANK NOVA SCOTIA PORTLAND BR	BR	NOSCUS33XXX
55	US	BANK NOVA SCOTIA ST THOMAS BR	BR	N
56	US	BANK NOVA SCOTIA SUNNY ISLE BR	BR	N
57	US	BANK OF AMERICA CORPORATION	HO	N
58	US	BANK OF AMERICA NATIONAL ASSOCIATION	HO	BOFAUS65
59	US	BANK OF BARODA NY BR	BR	BARBUS33XXX
60	US	BANK OF EAST ASIA (U.SA) NATIONAL ASSOCIATION THE	SU	BEAKUS33XXX
61	US	BANK OF EAST ASIA LIMITED LA BR	BR	BEASUS66XXX
62	US	BANK OF EAST ASIA LIMITED NY BR	BR	BEASUS33XXX
63	US	BANK OF HAWAII	HO	BOHIUS77
64	US	BANK OF HAWAII CORPORATION	HO	N
65	US	BANK OF INDIA NY BR	BR	SKIDUD33XXX
66	US	BANK OF INDIA SF AGY	BR	BKIDUS33XXX
67	US	BANK OF MONTREAL CHICAGO BR	BR	N
68	US	BANK OF MONTREAL NY BR	BR	N
69	US	BANK OF MONTREAL-HOUSTON AGY	BR	BOFMUS4XXXX
70	US	BANK OF NEW YORK MELLON CORPORATION THE	HO	N
71	US	BANK OF NEW YORK MELLON THE	HO	IRVTUS3N
72	US	BANK OF NOVA SCOT SAN JUAN BR	BR	N
73	US	BANK OF NOVA SCOTIA HOU BR	BR	N
74	US	BANK OF NOVA SCOTIA NY AGY	BR	NOSCUS33XXX
75	US	BANK OF OKLAHOMA NATIONAL ASSOCIATION	HO	BAOKUS44
76	US	BANK OF TAIWAN LA BR	BR	BKTWUS6L
77	US	BANK OF TAIWAN NY AGY	BR	BKTWUS33XXX
78	US	BANK OF THE ORIENT	HO	BOFOUS6L
79	US	BANK OF THE WEST	SU	BWSTUS66
80	US	BANK OF TOKYO-MITSUBISHI UFJ TRUST COMPANY	SU	BOTKUS3NXXX
81	US	BANK SINOPAC LA BR	BR	SINOUS6LXXX
82	US	BANK TOK-MIT UFJ ATL AGY	BR	N
83	US	BANK TOK-MIT UFJ CHICAGO BR	BR	BOTKUS4C
84	US	BANK TOK-MIT UFJ HOU AGY	BR	BOTKUS4H
85	US	BANK TOK-MIT UFJ LA BR	BR	BOTKUS6LXXX
86	US	BANK TOK-MIT UFJ NY BR	BR	BOTKUS33XXX
87	US	BANK TOK-MIT UFJ PORTLAND BR	BR	N
88	US	BANK TOK-MIT UFJ SEATTLE BR	BR	BOTKUS6P
89	US	BANK TOK-MIT UFJ SF BR	BR	BOTKUS6SXXX
90	US	BANKERS INTERNATIONAL CORPORATION	SU	N
91	US	BANKOH INVESTMENT SERVICES INC	NB	N
92	US	BANORTE USA CORPORATION	SU	N
93	US	BARCLAYS BANK DELAWARE	SU	N
94	US	BARCLAYS BK PLC LA AGY	BR	N
95	US	BARCLAYS BK PLC MIAMI BR	BR	BARCUS3MXXX
96	US	BARCLAYS BK PLC NY PARK AVE BR	BR	BARCUS33XXX
97	US	BARCLAYS BK PLC NY SEVENTH AVE BR	BR	N
98	US	BARCLAYS CAPITAL INC	NB	BARCUS3BXXX
99	US	BARCLAYS FINANCIAL CORP	SU	N
100	US	BARCLAYS GLOBAL INVESTORS SERVICES	NB	N
101	US	BARCLAYS GROUP US INC	SU	N
102	US	BAYERISCHE HYPO VEREINS NY BR	BR	HYVEUS33XXX
103	US	BAYERISCHE LANDESBANK NY BR	BR	BYLAUS33XXX
104	US	BB&T AM DISTRIBUTORS INC	NB	N
105	US	BB&T CORPORATION	HO	N
106	US	BB&T INVESTMENT SERVICES INC	NB	N
107	US	BBVA BANCOMER SA HOUSTON AGY	BR	N
108	US	BBVA COMPASS INVESTMENT SOLUTIONS INC	NB	N
109	US	BBVA PR HOLDING CORPORATION	SU	N
110	US	BBVA SECURITIES INC	NB	BBVAUS3SXXX
111	US	BBVA USA BANCSHARES INC	SU	N
112	US	BCP HOLDINGS (USA) INC	SU	N
113	US	BLACKROCK CAPITAL MARKETS LLC	NB	N
114	US	BMO CAPITAL MARKETS CORP	NB	N
115	US	BMO CAPITAL MARKETS GKST INC	NB	N
116	US	BMO HOLDING FINANCE LLC	NB	N
117	US	BNP PARIBAS CHICAGO BR	BR	BNPAUS6SXXX
118	US	BNP PARIBAS EQUITABLE TOWER BR	BR	N
119	US	BNP PARIBAS HOUSTON AGY	BR	BNPAUS4HXXX
120	US	BNP PARIBAS INVESTMENT SERVICES LLC	NB	N
121	US	BNP PARIBAS PRIME BROKERAGE INC	NB	BNPAUS3NPBS
122	US	BNP PARIBAS SECURITIES CORP	NB	BNPAUS3CXXX
123	US	BNP PARIBAS SF BR	BR	BNPAUS6SXXX
124	US	BNY CONVERGEX EXECUTION SOLUTIONS LLC	NB	CVGXUS33XXX
125	US	BNY MELLON CAPITAL MARKETS LLC	NB	N
126	US	BNY MELLON SECURITIES LLC	NB	N
127	US	BNY MELLON TRUST OF DELAWARE	HO	N
128	US	BOK FINANCIAL CORPORATION	HO	N
129	US	BRADESCO SECURITIES INC	NB	N
130	US	BRANCH BANKING AND TRUST COMPANY	HO	N
131	US	BRIDGEFORD GROUP INC THE	NB	N
132	US	BTMU FINANCIAL SERVICES INC	NB	N
133	US	BTMU NORTH AMERICA INTERNATIONAL INC	SU	N
134	US	CAIXA DE AFORROS MIAMI BR	BR	CAVIUS3MXXX
